ID,COMPLETED_DT
1123463317,2022-11-16 18:09:03.330
1123459470,2022-11-16 18:09:02.173
1123464065,2022-11-16 18:07:00.373
1123461087,2022-11-16 18:06:00.310
1123461398,2022-11-16 18:04:01.170
1123458924,2022-11-16 18:02:06.587
1123459553,2022-11-16 18:02:05.807
1123464003,2022-11-16 18:01:05.823
1123463986,2022-11-16 18:01:04.120
1123465797,2022-11-16 18:00:40.823
1123458482,2022-11-16 18:00:38.137
1123464658,2022-11-16 18:00:37.573
1123465911,2022-11-16 18:00:37.027
1123465562,2022-11-16 18:00:34.480
1123467930,2022-11-16 18:00:31.387
1123463128,2022-11-16 18:00:30.967
1123459858,2022-11-16 18:00:28.107
1123463265,2022-11-16 18:00:27.637
1123458962,2022-11-16 18:00:25.827
1123461541,2022-11-16 18:00:24.310
1123460845,2022-11-16 18:00:21.890
1123467231,2022-11-16 18:00:21.607
1123462448,2022-11-16 18:00:18.123
1123467933,2022-11-16 18:00:14.310
1123462719,2022-11-16 18:00:09.217
1123468001,2022-11-16 18:00:02.827
1123464400,2022-11-16 17:55:06.120
1123459169,2022-11-16 17:55:05.603
1123460996,2022-11-16 17:51:02.303
1123460100,2022-11-16 17:49:00.817
1123463935,2022-11-16 17:48:03.473
1123464553,2022-11-16 17:48:00.707
1123465210,2022-11-16 17:42:04.200
1123467025,2022-11-16 17:39:05.960
1123465172,2022-11-16 17:37:02.567
1123459673,2022-11-16 17:36:00.927
